bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,mode
109,66,16,57,10,1,12,3,1
109,84,72,74,10,0,34,7,1
148,53,61,81,5,0,36,4,0
158,60,52,76,17,0,19,5,1
94,74,64,73,6,0,10,6,1
96,70,40,51,35,0,10,4,1
100,80,29,67,29,0,12,3,1
105,58,42,68,1,0,14,4,0
125,53,32,66,38,0,9,3,0
170,56,56,63,13,0,19,27,1
115,70,84,90,17,0,41,6,0
122,64,25,89,0,0,15,9,0
105,88,82,80,8,0,11,8,1
133,66,74,84,25,0,21,4,0
100,79,60,68,7,0,26,4,0
120,82,55,45,15,3,9,10,1
177,25,17,30,90,0,13,3,0
142,64,31,72,15,0,9,5,1
144,57,47,84,1,1,52,4,1
120,65,80,86,9,0,19,10,1
135,92,73,51,55,0,15,6,0
107,81,82,78,38,0,12,4,0
105,82,62,74,10,0,33,7,0
108,44,38,77,9,0,9,20,1
147,51,62,79,22,13,14,3,1
115,71,34,88,16,0,44,4,0
174,70,57,64,23,0,8,32,0
90,68,83,71,3,0,31,8,1
141,41,9,25,84,1,14,4,1
82,68,50,49,56,0,8,4,0
92,47,25,43,62,0,32,3,0
116,77,65,80,6,0,15,4,1
124,79,59,86,4,0,8,11,1
125,71,83,89,1,0,17,9,1
90,80,71,69,2,0,27,10,0
83,46,34,64,31,0,7,34,0
124,79,68,79,1,0,10,8,1
140,58,4,60,7,41,8,3,0
154,64,61,91,15,0,72,4,0
150,74,89,70,2,0,5,6,1
186,41,9,61,2,0,12,5,1
166,40,23,48,5,0,12,3,1
107,87,20,83,0,4,31,9,0
87,87,52,52,31,0,28,24,0
82,40,39,64,21,0,7,7,0
114,46,60,28,91,0,21,4,1
148,47,15,52,38,13,29,5,0
140,91,97,57,38,0,40,29,0
101,90,76,81,15,24,33,6,0
140,81,6,84,5,23,6,6,1
88,49,24,66,19,0,18,29,1
180,64,44,65,28,0,14,12,0
133,95,91,89,6,0,31,24,0
108,63,20,55,72,0,6,6,1
80,39,24,43,39,0,23,3,1
75,80,46,62,3,6,11,46,1
121,67,26,64,52,0,17,10,1
140,58,17,62,18,0,20,8,1
126,81,59,90,5,0,36,3,1
102,58,29,94,0,0,9,11,0
82,70,31,34,60,1,11,4,0
121,46,53,78,23,0,72,6,1
103,70,92,83,1,0,7,6,1
108,82,88,76,9,0,12,9,1
85,65,36,47,31,0,12,10,1
125,84,70,69,1,0,5,5,1
120,69,40,39,41,0,13,6,0
94,58,44,57,57,0,10,3,0
130,65,49,80,22,4,7,5,1
110,74,51,74,2,0,29,4,0
150,34,33,63,16,0,7,4,0
107,74,88,65,28,0,46,3,1
140,70,85,41,71,0,45,5,0
119,74,78,37,84,0,6,3,0
93,35,38,23,91,0,29,3,0
133,46,53,63,5,0,30,18,0
202,24,76,60,77,0,12,4,0
134,45,72,24,91,0,18,4,0
105,72,33,51,48,0,9,3,0
160,51,69,81,0,0,21,5,0
148,50,96,82,47,0,34,4,0
151,65,70,47,87,0,9,4,0
162,67,88,54,51,0,9,4,1
92,53,84,77,40,0,32,3,0
152,65,35,65,44,18,21,7,0
65,71,55,26,85,0,13,8,1
147,33,39,61,32,0,77,3,0
150,73,71,69,53,0,32,9,1
140,67,81,36,64,0,15,3,0
139,36,22,15,84,0,11,4,0
95,75,74,58,36,0,9,3,0
115,60,23,57,0,2,27,3,0
125,62,59,43,84,3,11,5,0
76,60,19,20,78,0,11,5,0
101,72,91,87,14,0,13,3,1
143,60,86,32,88,0,34,6,0
119,51,51,66,67,0,9,23,1
78,67,22,59,76,1,15,16,0
96,23,19,25,91,0,40,3,0
180,51,87,58,36,0,18,4,0
126,34,35,76,39,0,8,5,0
150,43,42,44,57,0,15,6,0
90,53,47,74,9,0,34,4,0
